시군구명,위도,경도,안전센터명,관할소방서명
종로구,37.58637552,126.9817357,현장대응단,종로소방서
종로구,37.58681322,126.9818509,현장대응단,종로소방서
종로구,37.58471,126.98269,현장대응단,종로소방서
종로구,37.58258,126.98196,현장대응단,종로소방서
종로구,37.58396764,126.9832961,현장대응단,종로소방서
종로구,37.58342627,126.1829323,현장대응단,종로소방서
종로구,37.58263,126.9823,현장대응단,종로소방서
종로구,37.58354,126.98234,현장대응단,종로소방서
종로구,37.581983,126.9822551,현장대응단,종로소방서
종로구,37.58518922,126.9833238,현장대응단,종로소방서
종로구,37.58543462,126.9830665,현장대응단,종로소방서
종로구,37.58525803,126.9830976,현장대응단,종로소방서
종로구,37.58467543,126.9830332,현장대응단,종로소방서
종로구,37.58441,126.98204,현장대응단,종로소방서
종로구,37.58382,126.98212,현장대응단,종로소방서
종로구,37.5838,126.98208,현장대응단,종로소방서
종로구,37.58513,126.98217,현장대응단,종로소방서
종로구,37.58648448,126.981515,현장대응단,종로소방서
종로구,37.58667221,126.9814899,현장대응단,종로소방서
종로구,37.58765709,126.9808614,현장대응단,종로소방서
종로구,37.58387,126.98111,현장대응단,종로소방서
종로구,37.58406,126.98006,현장대응단,종로소방서
종로구,37.58536156,126.983199,현장대응단,종로소방서
종로구,37.58833382,126.9809083,현장대응단,종로소방서
종로구,37.570062,126.982174,현장대응단,종로소방서
종로구,37.569484,126.982699,현장대응단,종로소방서
종로구,37.569144,126.982018,현장대응단,종로소방서
종로구,37.570075,126.980768,현장대응단,종로소방서
종로구,37.571968,126.979308,현장대응단,종로소방서
종로구,37.569186,126.980334,현장대응단,종로소방서
종로구,37.569216,126.98116,현장대응단,종로소방서
종로구,37.569293,126.979684,현장대응단,종로소방서
종로구,37.570092,126.979384,현장대응단,종로소방서
종로구,37.569344,126.978971,현장대응단,종로소방서
종로구,37.570075,126.97837,현장대응단,종로소방서
종로구,37.569348,126.978499,현장대응단,종로소방서
종로구,37.57748,126.97661,현장대응단,종로소방서
종로구,37.57705,126.97575,현장대응단,종로소방서
종로구,37.57783,126.97775,현장대응단,종로소방서
종로구,37.57466054,126.9753106,현장대응단,종로소방서
종로구,37.57404654,126.9762654,현장대응단,종로소방서
종로구,37.57418543,126.9760015,현장대응단,종로소방서
종로구,37.57418451,126.9762405,현장대응단,종로소방서
종로구,37.57403,126.97461,현장대응단,종로소방서
종로구,37.57159318,126.9759633,현장대응단,종로소방서
종로구,37.57313,126.97453,현장대응단,종로소방서
종로구,37.57089964,126.9766511,현장대응단,종로소방서
종로구,37.58157,126.98108,현장대응단,종로소방서
종로구,37.58082154,126.9810618,현장대응단,종로소방서
종로구,37.58105,126.98144,현장대응단,종로소방서
종로구,37.58099,126.98045,현장대응단,종로소방서
종로구,37.58055,126.98063,현장대응단,종로소방서
종로구,37.58009,126.98022,현장대응단,종로소방서
종로구,37.58031,126.98149,현장대응단,종로소방서
종로구,37.58045,126.98191,현장대응단,종로소방서
종로구,37.58004,126.98174,현장대응단,종로소방서
종로구,37.58003,126.98131,현장대응단,종로소방서
